train,,,,,,,,,,,,
power, T, t_lif, t_psn, t_lif_cp, t_blockalif_0, t_blockalif_1, t_blockalif_2, t_blockalif_3, t_alif_0, t_alif_1, t_alif_2, t_alif_3
8,2,1.515982499,0.567498,1.93314201,7.777263902,,,,4.004069507,,,
8,4,3.051240502,0.723699499,1.364423,15.20167038,8.121069439,,,6.992594495,7.514651015,,
8,8,5.491263539,0.755238501,1.890672509,30.59499249,17.75427701,7.93682754,,14.02001153,13.50524752,13.196436,
8,16,9.641068012,0.865417994,1.164759003,41.52100703,31.09215346,17.12826954,6.549039006,23.95952097,25.12265959,24.28161745,25.04955399
8,32,18.47411953,0.520046499,1.582172001,67.7373178,41.92821854,31.61185539,17.31522003,37.45706698,37.27459493,39.26872432,38.27407116
8,64,31.51555732,0.83956,2.027739007,123.4019921,67.80935967,41.45922893,31.32347202,56.05294085,53.80051804,53.25997168,52.57026899
12,2,1.437181506,0.654006998,1.397845007,7.082806475,,,,4.116994001,,,
12,4,3.017227499,0.740443502,2.034161996,17.37683059,7.871521994,,,7.484659001,7.677629985,,
12,8,4.793202017,0.704297004,1.760908507,32.18018577,16.33828807,8.03843002,,13.78964804,14.44230001,12.44013451,
12,16,9.477080569,0.752002501,1.530695502,42.8995159,32.47734606,17.05791499,7.366038971,24.30340503,24.89589891,24.33415551,24.8400525
12,32,17.14308803,0.965276,1.032269507,67.66553205,42.99381042,28.89788747,16.89896953,38.97036609,39.33617988,38.61014143,37.52773494
12,64,30.59581494,0.699325,2.063684501,125.9808353,68.74688452,42.40460896,31.157162,52.95434749,53.1632033,53.57805783,53.65920758
16,2,1.548942506,0.588372498,1.892621996,7.946657501,,,,3.591270991,,,
16,4,3.278681997,0.710553001,2.072292503,16.521751,7.490605541,,,7.228834502,7.539637946,,
16,8,5.061546486,0.820148003,1.898899013,30.38866711,16.07349001,7.714563489,,13.38697958,12.96981749,13.32309202,
16,16,9.846496522,0.752649497,2.021376502,41.18163916,32.09528649,17.23114201,8.952817999,22.57627194,24.20364933,26.01476358,23.70364402
16,32,19.44536613,0.861445999,2.032047486,70.7017405,42.53455976,32.42471442,19.70506552,36.58845437,38.9535785,39.10092914,39.67228889
16,64,33.17449,1.530095497,1.9069605,129.5332425,75.94103312,46.70966351,37.90487432,69.12082481,69.01011598,68.54867256,68.4392792
inference,,,,,,,,,,,,
8,2,0.086480999,0.0448735,0.1274685,0.897097498,,,,0.485394501,,,
8,4,0.130991001,0.04357,0.178924501,1.982703984,0.949389999,,,1.029599504,0.839189503,,
8,8,0.170486,0.043263,0.244790001,4.076430492,2.024369005,1.244422002,,1.553285493,1.568966001,1.556754498,
8,16,0.308122998,0.0445915,0.408492999,8.248368979,4.212793984,2.04018952,0.924000502,2.985179994,2.945083488,2.976626989,2.981298979
8,32,0.5532615,0.0434855,0.724769502,16.46644357,8.58374697,4.204152495,2.058883511,5.764087491,5.747206002,5.753346458,5.7750635
8,64,1.063011996,0.055662,1.418530999,33.09729159,17.24843648,8.624406964,4.222015992,11.32344596,11.30936553,11.226197,11.39795253
12,2,0.090084,0.0434055,0.130104,0.896275003,,,,0.499941998,,,
12,4,0.1322785,0.043582,0.182675001,1.959980002,0.938433002,,,0.859289501,0.865457,,
12,8,0.181666501,0.042973,0.239478,4.050592031,2.058656508,0.953151999,,1.582683502,1.551872002,1.567174004,
12,16,0.299319501,0.0558535,0.4137055,8.310914934,4.187455483,2.037857503,0.9488625,2.973808017,3.004555486,3.018514004,3.001326501
12,32,0.558103003,0.055489,0.750607001,18.01246402,8.600381479,4.257557504,2.0021715,5.801239498,5.77057448,5.800180502,6.111240484
12,64,1.062600002,0.054867,1.401980989,33.05331212,17.27195993,8.588298976,4.24231001,12.09965096,11.27783947,11.32857347,11.29307801
16,2,0.0890625,0.052912,0.125274,0.930156498,,,,0.503008996,,,
16,4,0.137144001,0.0579265,0.183758501,2.007420504,0.952675999,,,0.852039498,0.845040498,,
16,8,0.178360501,0.065058,0.2423475,4.074275509,2.037076013,0.931331499,,1.591925001,1.592486499,1.578095494,
16,16,0.3093965,0.094457,0.4225825,8.615397021,4.409713015,2.103781518,1.294282496,3.342807498,3.291610017,3.322639499,3.34302748
16,32,0.600616002,0.178393501,0.760064502,17.74285445,9.190063462,4.496174999,2.931684997,6.973105527,6.911340028,6.987996995,6.948051006
16,64,1.1578815,0.334039003,1.392435497,35.92181307,18.72391251,9.260043979,6.21154502,14.00119652,14.03812897,13.97004853,14.14431049
